point_index,x,y,z
505,0.22,1.1,-0.953333333
506,0.366666667,1.1,-0.953333333
507,0.513333333,1.1,-0.953333333
508,0.66,1.1,-0.953333333
509,0.806666667,1.1,-0.953333333
510,0.953333333,1.1,-0.953333333
511,1.1,1.1,-0.953333333
512,-1.1,-1.1,-0.806666667
513,-0.953333333,-1.1,-0.806666667
514,-0.806666667,-1.1,-0.806666667
515,-0.66,-1.1,-0.806666667
516,-0.513333333,-1.1,-0.806666667
517,-0.366666667,-1.1,-0.806666667
518,-0.22,-1.1,-0.806666667
519,-0.0733333333,-1.1,-0.806666667
520,0.0733333333,-1.1,-0.806666667
521,0.22,-1.1,-0.806666667
522,0.366666667,-1.1,-0.806666667
523,0.513333333,-1.1,-0.806666667
524,0.66,-1.1,-0.806666667
525,0.806666667,-1.1,-0.806666667
526,0.953333333,-1.1,-0.806666667
527,1.1,-1.1,-0.806666667
528,-1.1,-0.953333333,-0.806666667
529,-0.953333333,-0.953333333,-0.806666667
530,-0.806666667,-0.953333333,-0.806666667
531,-0.66,-0.953333333,-0.806666667
532,-0.513333333,-0.953333333,-0.806666667
533,-0.366666667,-0.953333333,-0.806666667
534,-0.22,-0.953333333,-0.806666667
535,-0.0733333333,-0.953333333,-0.806666667
536,0.0733333333,-0.953333333,-0.806666667
537,0.22,-0.953333333,-0.806666667
538,0.366666667,-0.953333333,-0.806666667
539,0.513333333,-0.953333333,-0.806666667
540,0.66,-0.953333333,-0.806666667
541,0.806666667,-0.953333333,-0.806666667
542,0.953333333,-0.953333333,-0.806666667
543,1.1,-0.953333333,-0.806666667
544,-1.1,-0.806666667,-0.806666667
545,-0.953333333,-0.806666667,-0.806666667
546,-0.806666667,-0.806666667,-0.806666667
547,-0.66,-0.806666667,-0.806666667
548,-0.513333333,-0.806666667,-0.806666667
549,-0.366666667,-0.806666667,-0.806666667
550,-0.22,-0.806666667,-0.806666667
551,-0.0733333333,-0.806666667,-0.806666667
552,0.0733333333,-0.806666667,-0.806666667
553,0.22,-0.806666667,-0.806666667
554,0.366666667,-0.806666667,-0.806666667
555,0.513333333,-0.806666667,-0.806666667
556,0.66,-0.806666667,-0.806666667
557,0.806666667,-0.806666667,-0.806666667
558,0.953333333,-0.806666667,-0.806666667
559,1.1,-0.806666667,-0.806666667
560,-1.1,-0.66,-0.806666667
561,-0.953333333,-0.66,-0.806666667
562,-0.806666667,-0.66,-0.806666667
563,-0.66,-0.66,-0.806666667
564,-0.513333333,-0.66,-0.806666667
565,-0.366666667,-0.66,-0.806666667
566,-0.22,-0.66,-0.806666667
567,-0.0733333333,-0.66,-0.806666667
568,0.0733333333,-0.66,-0.806666667
569,0.22,-0.66,-0.806666667
570,0.366666667,-0.66,-0.806666667
571,0.513333333,-0.66,-0.806666667
572,0.66,-0.66,-0.806666667
573,0.806666667,-0.66,-0.806666667
574,0.953333333,-0.66,-0.806666667
575,1.1,-0.66,-0.806666667
576,-1.1,-0.513333333,-0.806666667
577,-0.953333333,-0.513333333,-0.806666667
578,-0.806666667,-0.513333333,-0.806666667
579,-0.66,-0.513333333,-0.806666667
580,-0.513333333,-0.513333333,-0.806666667
581,-0.366666667,-0.513333333,-0.806666667
582,-0.22,-0.513333333,-0.806666667
583,-0.0733333333,-0.513333333,-0.806666667
584,0.0733333333,-0.513333333,-0.806666667
585,0.22,-0.513333333,-0.806666667
586,0.366666667,-0.513333333,-0.806666667
587,0.513333333,-0.513333333,-0.806666667
588,0.66,-0.513333333,-0.806666667
589,0.806666667,-0.513333333,-0.806666667
590,0.953333333,-0.513333333,-0.806666667
591,1.1,-0.513333333,-0.806666667
592,-1.1,-0.366666667,-0.806666667
593,-0.953333333,-0.366666667,-0.806666667
594,-0.806666667,-0.366666667,-0.806666667
595,-0.66,-0.366666667,-0.806666667
596,-0.513333333,-0.366666667,-0.806666667
597,-0.366666667,-0.366666667,-0.806666667
598,-0.22,-0.366666667,-0.806666667
599,-0.0733333333,-0.366666667,-0.806666667
600,0.0733333333,-0.366666667,-0.806666667
601,0.22,-0.366666667,-0.806666667
602,0.366666667,-0.366666667,-0.806666667
603,0.513333333,-0.366666667,-0.806666667
604,0.66,-0.366666667,-0.806666667
605,0.806666667,-0.366666667,-0.806666667
606,0.953333333,-0.366666667,-0.806666667
607,1.1,-0.366666667,-0.806666667
608,-1.1,-0.22,-0.806666667
609,-0.953333333,-0.22,-0.806666667
610,-0.806666667,-0.22,-0.806666667
611,-0.66,-0.22,-0.806666667
612,-0.513333333,-0.22,-0.806666667
613,-0.366666667,-0.22,-0.806666667
614,-0.22,-0.22,-0.806666667
615,-0.0733333333,-0.22,-0.806666667
616,0.0733333333,-0.22,-0.806666667
617,0.22,-0.22,-0.806666667
618,0.366666667,-0.22,-0.806666667
619,0.513333333,-0.22,-0.806666667
620,0.66,-0.22,-0.806666667
621,0.806666667,-0.22,-0.806666667
622,0.953333333,-0.22,-0.806666667
623,1.1,-0.22,-0.806666667
624,-1.1,-0.0733333333,-0.806666667
625,-0.953333333,-0.0733333333,-0.806666667
626,-0.806666667,-0.0733333333,-0.806666667
627,-0.66,-0.0733333333,-0.806666667
628,-0.513333333,-0.0733333333,-0.806666667
629,-0.366666667,-0.0733333333,-0.806666667
630,-0.22,-0.0733333333,-0.806666667
631,-0.0733333333,-0.0733333333,-0.806666667
632,0.0733333333,-0.0733333333,-0.806666667
633,0.22,-0.0733333333,-0.806666667
634,0.366666667,-0.0733333333,-0.806666667
635,0.513333333,-0.0733333333,-0.806666667
636,0.66,-0.0733333333,-0.806666667
637,0.806666667,-0.0733333333,-0.806666667
638,0.953333333,-0.0733333333,-0.806666667
639,1.1,-0.0733333333,-0.806666667
640,-1.1,0.0733333333,-0.806666667
641,-0.953333333,0.0733333333,-0.806666667
642,-0.806666667,0.0733333333,-0.806666667
643,-0.66,0.0733333333,-0.806666667
644,-0.513333333,0.0733333333,-0.806666667
