mesh,dataset,feature,bin,feature_min,feature_max,count,abs_error_mean,abs_error_median,sample_variance_mean,sample_variance_median,samples_used_mean,samples_used_median,mean_steps_mean,mean_steps_median,bias_indicator_mean,bias_indicator_median,normalized_bias_mean,normalized_bias_median,abs_error_epsilon_mean,abs_error_epsilon_median
bunny,neumann_pointcloud,local_edge_mean_norm,4,0.006267870786025851,0.009956927774751927,25,0.0083165096932,0.0060158819,0.02573195218,0.01560184,256.0,256.0,32.29328116000001,24.097656,,,,,,
bunny,neumann_pointcloud,local_normal_variation,1,0.0005656471431300473,0.0037131340291178634,25,0.00627283710224,0.0060158819,0.0198874210256,0.015493926,256.0,256.0,30.6171874,23.847656,,,,,,
bunny,neumann_pointcloud,local_normal_variation,2,0.0037131340291178634,0.00955518540677199,24,0.012613117630833332,0.0067695081,0.025447010773499996,0.024838031,256.0,256.0,41.13492862499999,31.7714845,,,,,,
bunny,neumann_pointcloud,local_normal_variation,3,0.00955518540677199,0.05916784046881916,25,0.006994343155679999,0.0049184412,0.0228235793193468,0.017424216,256.0,256.0,32.353749820000004,27.273438,,,,,,
bunny,neumann_pointcloud,local_normal_variation,4,0.05916784046881916,0.3428848098830503,25,0.0087455571812,0.0059162974,0.021604244664,0.011995964,256.0,256.0,33.98796876,26.003906,,,,,,
bunny,neumann_pointcloud,local_quality,1,0.4450918048285524,0.7859462604004329,25,0.00766450117184,0.0060158819,0.026364900973599992,0.017165156,256.0,256.0,33.54187496,26.003906,,,,,,
bunny,neumann_pointcloud,local_quality,2,0.7859462604004329,0.8380667789333966,23,0.01210263372052174,0.0059390068,0.026675205329463908,0.02004471,256.0,256.0,45.398607282608694,31.984375,,,,,,
bunny,neumann_pointcloud,local_quality,3,0.8380667789333966,0.8709002777618432,26,0.00783804181076923,0.0056924783,0.022337040256538456,0.018308457,256.0,256.0,32.29507215384616,28.5253905,,,,,,
bunny,neumann_pointcloud,local_quality,4,0.8709002777618432,0.9948006843898107,25,0.0071708426868,0.0057407618,0.014607763608,0.01010844,256.0,256.0,27.55296876,23.375,,,,,,
bunny,bias_eps_1e-3,nearest_distance_proxy_norm,1,0.0009455301250879144,0.4767785698883792,1005,,,,,,,,,0.020390118439124378,0.014848143,0.5685833768409949,0.44663125,0.0396064921269005,0.025875716
bunny,bias_eps_1e-3,nearest_distance_proxy_norm,2,0.4767785698883792,0.6927498299546511,1004,,,,,,,,,0.008917561281458226,0.0060591976999999995,0.31182365343937146,0.22656801999999998,0.011176100583939542,0.00855106115
bunny,bias_eps_1e-3,nearest_distance_proxy_norm,3,0.6927498299546511,0.9096147057722727,1004,,,,,,,,,0.005667124087244821,0.00198277135,0.23089763767006974,0.0874417905,0.005895684275185259,0.0021973419999999997
bunny,bias_eps_1e-3,nearest_distance_proxy_norm,4,0.9096147057722727,1.5371729899093125,1005,,,,,,,,,0.002712440085894527,0.0,0.14496361859256718,0.0,0.0028169942827721397,0.0
bunny,bias_eps_1e-3,local_edge_mean_norm,1,0.0029535421899033517,0.005394605470400756,1005,,,,,,,,,0.007539653567015921,0.0029390752,0.2714288526000597,0.11733074,0.011450691462618906,0.0037436709
bunny,bias_eps_1e-3,local_edge_mean_norm,2,0.005394605470400756,0.0057112466847521436,1000,,,,,,,,,0.01014936617526,0.00465495885,0.3339703071784,0.19501654000000002,0.017716348589916997,0.0065348819
