mesh,dataset,feature,target,pearson_r,n
spot,adaptive_dirichlet,local_normal_variation,abs_error,-0.07607516842020474,459
spot,adaptive_dirichlet,local_normal_variation,std_error,-0.0998188961563609,459
spot,adaptive_dirichlet,local_normal_variation,sample_variance,-0.14317494197856104,459
spot,adaptive_dirichlet,local_normal_variation,samples_used,-0.07379669558821532,459
spot,adaptive_dirichlet,local_normal_variation,mean_steps,-0.09430751845282938,459
spot,bias_eps_1e-2,nearest_distance_proxy_norm,bias_indicator,-0.5996324361319234,3876
spot,bias_eps_1e-2,nearest_distance_proxy_norm,normalized_bias,-0.5206503170206015,3876
spot,bias_eps_1e-2,nearest_distance_proxy_norm,mean_steps_epsilon,-0.5693666064732338,3876
spot,bias_eps_1e-2,nearest_distance_proxy_norm,abs_error_epsilon,-0.6308779274446329,3876
spot,bias_eps_1e-2,local_edge_mean_norm,bias_indicator,0.059962525605535166,3876
spot,bias_eps_1e-2,local_edge_mean_norm,normalized_bias,0.05526012115158827,3876
spot,bias_eps_1e-2,local_edge_mean_norm,mean_steps_epsilon,0.1357840872489208,3876
spot,bias_eps_1e-2,local_edge_mean_norm,abs_error_epsilon,0.07720320230488589,3876
spot,bias_eps_1e-2,local_area_norm,bias_indicator,0.04527799055907364,3876
spot,bias_eps_1e-2,local_area_norm,normalized_bias,0.04004824222431831,3876
spot,bias_eps_1e-2,local_area_norm,mean_steps_epsilon,0.12378762103249971,3876
spot,bias_eps_1e-2,local_area_norm,abs_error_epsilon,0.060564716441871724,3876
spot,bias_eps_1e-2,local_aspect_ratio,bias_indicator,0.1183753717423715,3876
spot,bias_eps_1e-2,local_aspect_ratio,normalized_bias,0.11722269698450494,3876
spot,bias_eps_1e-2,local_aspect_ratio,mean_steps_epsilon,0.09172775312764925,3876
spot,bias_eps_1e-2,local_aspect_ratio,abs_error_epsilon,0.13365587035027207,3876
spot,bias_eps_1e-2,local_quality,bias_indicator,-0.08951321243679061,3876
spot,bias_eps_1e-2,local_quality,normalized_bias,-0.09159772037300945,3876
spot,bias_eps_1e-2,local_quality,mean_steps_epsilon,-0.06411757355994292,3876
spot,bias_eps_1e-2,local_quality,abs_error_epsilon,-0.10117696403785954,3876
spot,bias_eps_1e-2,local_normal_variation,bias_indicator,-0.19313149115133615,3876
spot,bias_eps_1e-2,local_normal_variation,normalized_bias,-0.16797285828581107,3876
spot,bias_eps_1e-2,local_normal_variation,mean_steps_epsilon,-0.15434295725191913,3876
spot,bias_eps_1e-2,local_normal_variation,abs_error_epsilon,-0.21837868609569897,3876
